QueryName,WeeklySales_USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SourceData,SalesView_Updated2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Server,Abacus_Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP,21.31.312.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config Mode,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Date,January 1st 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Time,4:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference,XXRP-SYSTEMEXTRACT-ADMIN-20200101-WEEKLYSALES_USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Store,Cat,Ref1,06/01/2020 00:00,13/01/2020 00:00,20/01/2020 00:00,27/01/2020 00:00,03/02/2020 00:00,10/02/2020 00:00,17/02/2020 00:00,24/02/2020 00:00,03/03/2020 00:00,10/03/2020 00:00,17/03/2020 00:00,24/03/2020 00:00,31/03/2020 00:00,07/04/2020 00:00,14/04/2020 00:00,21/04/2020 00:00,28/04/2020 00:00,05/05/2020 00:00,12/05/2020 00:00,19/05/2020 00:00,26/05/2020 00:00,02/06/2020 00:00,09/06/2020 00:00,16/06/2020 00:00,23/06/2020 00:00,30/06/2020 00:00,07/07/2020 00:00,14/07/2020 00:00,21/07/2020 00:00,28/07/2020 00:00,04/08/2020 00:00,11/08/2020 00:00,18/08/2020 00:00,25/08/2020 00:00,01/09/2020 00:00,08/09/2020 00:00,15/09/2020 00:00,22/09/2020 00:00,29/09/2020 00:00,06/10/2020 00:00,13/10/2020 00:00,20/10/2020 00:00,27/10/2020 00:00,03/11/2020 00:00,10/11/2020 00:00,17/11/2020 00:00,24/11/2020 00:00,01/12/2020 00:00,08/12/2020 00:00,15/12/2020 00:00,22/12/2020 00:00,29/12/2020 00:00,05/01/2021 00:00,12/01/2021 00:00,19/01/2021 00:00,26/01/2021 00:00,02/02/2021 00:00,09/02/2021 00:00,16/02/2021 00:00,23/02/2021 00:00,02/03/2021 00:00,09/03/2021 00:00,16/03/2021 00:00,23/03/2021 00:00,30/03/2021 00:00,06/04/2021 00:00,13/04/2021 00:00,20/04/2021 00:00,27/04/2021 00:00,04/05/2021 00:00,11/05/2021 00:00,18/05/2021 00:00,25/05/2021 00:00,01/06/2021 00:00,08/06/2021 00:00,15/06/2021 00:00,22/06/2021 00:00,29/06/2021 00:00,06/07/2021 00:00,13/07/2021 00:00,20/07/2021 00:00,27/07/2021 00:00,03/08/2021 00:00,10/08/2021 00:00,17/08/2021 00:00,24/08/2021 00:00,31/08/2021 00:00,07/09/2021 00:00,14/09/2021 00:00,21/09/2021 00:00,28/09/2021 00:00,05/10/2021 00:00,12/10/2021 00:00,19/10/2021 00:00,26/10/2021 00:00,02/11/2021 00:00,09/11/2021 00:00,16/11/2021 00:00,23/11/2021 00:00,30/11/2021 00:00,07/12/2021 00:00,14/12/2021 00:00,21/12/2021 00:00,28/12/2021 00:00,04/01/2022 00:00,11/01/2022 00:00,18/01/2022 00:00,25/01/2022 00:00,01/02/2022 00:00,08/02/2022 00:00,15/02/2022 00:00,22/02/2022 00:00,01/03/2022 00:00,08/03/2022 00:00,15/03/2022 00:00,22/03/2022 00:00,29/03/2022 00:00,05/04/2022 00:00,12/04/2022 00:00,19/04/2022 00:00,26/04/2022 00:00,03/05/2022 00:00,10/05/2022 00:00,17/05/2022 00:00,24/05/2022 00:00,31/05/2022 00:00,07/06/2022 00:00,14/06/2022 00:00,21/06/2022 00:00,28/06/2022 00:00,05/07/2022 00:00,12/07/2022 00:00,19/07/2022 00:00,26/07/2022 00:00,02/08/2022 00:00,09/08/2022 00:00,16/08/2022 00:00,23/08/2022 00:00,30/08/2022 00:00,06/09/2022 00:00,13/09/2022 00:00,20/09/2022 00:00,27/09/2022 00:00,04/10/2022 00:00,11/10/2022 00:00,18/10/2022 00:00,25/10/2022 00:00,01/11/2022 00:00,08/11/2022 00:00,15/11/2022 00:00,22/11/2022 00:00,29/11/2022 00:00,06/12/2022 00:00,13/12/2022 00:00,20/12/2022 00:00,27/12/2022 00:00
Sales,1,1,11XXRP,24924.5,46039.49,41595.55,19403.54,21827.9,21043.39,22136.64,26229.21,57258.43,42960.91,17596.96,16145.35,16555.11,17413.94,18926.74,14773.04,15580.43,17558.09,16637.62,16216.27,16328.72,16333.14,17688.76,17150.84,15360.45,15381.82,17508.41,15536.4,15740.13,15793.87,16241.78,18194.74,19354.23,18122.52,20094.19,23388.03,26978.34,25543.04,38640.93,34238.88,19549.39,19552.84,18820.29,22517.56,31497.65,44912.86,55931.23,19124.58,15984.24,17359.7,17341.47,18461.18,21665.76,37887.17,46845.87,19363.83,20327.61,21280.4,20334.23,20881.1,20398.09,23873.79,28762.37,50510.31,41512.39,20138.19,17235.15,15136.78,15741.6,16434.15,15883.52,14978.09,15682.81,15363.5,16148.87,15654.85,15766.6,15922.41,15295.55,14539.79,14689.24,14537.37,15277.27,17746.68,18535.48,17859.3,18337.68,20797.58,23077.55,23351.8,31579.9,39886.06,18689.54,19050.66,20911.25,25293.49,33305.92,45773.03,46788.75,23350.88,16567.69,16894.4,18365.1,18378.16,23510.49,36988.49,54060.1,20124.22,20113.03,21140.07,22366.88,22107.7,28952.86,57592.12,34684.21,16976.19,16347.6,17147.44,18164.2,18517.79,16963.55,16065.49,17666,17558.82,16633.41,15722.82,17823.37,16566.18,16348.06,15731.18,16628.31,16119.92,17330.7,16286.4,16680.24,18322.37,19616.22,19251.5,18947.81,21904.47,22764.01,24185.27,27390.81,23031.32542,25466.00352,29434.62724,35661.79834,31291.5606,36906.62191,40869.70544,53424.89134,33250.00031,29802.28045,24973.09504,26948.83525,22834.15942
,1,2,12XXRP,50605.27,44682.74,47928.89,44292.87,48397.98,43751.94,43615.49,41892.55,47450.5,46549.73,45025.02,44418.11,45971.3,47903.01,43675.61,44319.15,44619.52,48754.47,47089.54,44428.71,45299.92,47077.72,46752.12,44339.2,44763.33,45833.77,50031.73,45475.69,49754.17,49623.53,49015.05,45182.5,44681.64,42477.49,45829.02,46387.54,43110.79,42371.48,44081.33,46381.43,43194.49,41443.25,45681.98,44405.02,46955.82,49303.28,59889.32,35819.83,43202.29,39857.4,41596.99,41651.01,46829.12,47595.35,49202.06,46165.25,53035.54,48465.72,45222.3,44293.54,46991.58,48501.79,44464.74,46544.56,43682.41,50139.92,44274.15,44302.11,45072.11,47844.27,46363.93,42939.63,42415.81,45247.74,44623.23,43260.96,45113.56,43191.02,49359.75,45341.92,46391.12,47659.93,49419.75,43315.85,42963.96,43390.94,46045.09,49880.69,43306.38,42487.67,41682.4,47313.62,44936.47,43997.78,44259.59,45928.14,49357.43,51137.42,65615.36,43539.94,44481.38,43353.09,43753.43,41556.23,54322.24,50581.06,46085.47,47080.12,52608.51,48563.69,47346.32,44796.03,46529.68,51805.88,43991.18,45561.85,45456.23,50501.3,46717.76,44411.23,45817.07,47425.29,49439.58,46637.48,46075,47629.14,49771.92,44411.95,45108.22,45008.22,49424.06,46729.91,46350.97,44972.52,50995.5,47344.5,44493.61,43541.07,45784.76,48577.08,42112.67,42354.72,43134.88,44209.80911,46992.63448,52250.16169,61318.39115,51997.40809,58818.08412,62548.81696,78654.27168,47520.96118,41287.18688,33448.72854,34970.98114,29244.55355
,1,3,13XXRP,13740.12,10887.84,11523.47,11135.17,12275.58,10123.45,9001.37,10366.85,11157.08,10179.29,9226.8,8868.93,9337.44,9372.8,7919.86,7813.91,8412.69,8001.41,7742.75,8201.06,6591.22,7857.88,8112.67,13751.3,16930.62,20915.95,26719.02,30640.54,41101.93,51159.17,19081.8,12134.69,10722.46,8097.92,9775.17,10081.8,9735.73,8614.41,9283.09,9825.22,9146.77,9202.11,10706.81,10856.85,11219.78,11986.84,12080.36,8266.14,15808.15,13275.87,12532.94,11983.34,11012.52,11428.25,11724.98,10473.78,11039.12,10689.97,8148.69,9049.02,8734.19,10417.33,8212.97,8468.72,8653.62,10420.92,8732.46,7939.01,8120.7,8853.89,7508.71,7658.75,6165.73,8070.64,7366.5,11578.11,16069.5,21331.51,31248.98,32148.93,41603.11,49775.52,19604.47,12778.28,10412.88,9755.56,10434.83,9977.96,9870.22,10136.78,9421.2,9189.2,9959.64,10104.36,9317.56,10146.54,12955.55,13180.05,13667.88,8848.44,13926.04,13822.49,11702.08,10613.17,12485.78,12388.85,10237.78,10502.4,11387.31,11925.71,8845.73,7910.22,9129.23,9335.24,7927.73,8647.36,8635.62,10655.35,10342.72,8609.82,8345.33,7175.77,8614.64,8016.26,7301.41,7577.59,8473.71,13126.15,20126.95,22716.7,30331.69,28257.3,31905.97,43712.78,50701.3,18368.51,14288.22,13403.63,13085.95,11676.98,10487.17,8548.87,9350.9,18819.39668,18881.59193,19182.4089,19626.85053,13538.75128,11863.4144,9321.57387,7525.256908,2694.927181,576.1229983,0,0,1173.743081
,1,4,14XXRP,39954.04,35351.21,36826.95,34660.16,38086.19,32668.67,34118.11,33872.07,37809.49,36174.43,34740.19,33806.71,33437.8,37168.34,33657.7,35571.47,36380.36,40548.19,36579.96,35059.52,34454.69,39773.71,39781.45,35234.66,36624.71,36419.68,40973.88,36461.66,39706.1,36404.6,38321.88,36603.78,33999.01,32497.43,34912.45,35772.82,34693.27,32902.26,35202.44,37980.55,35008.03,37078.61,46201.27,37110.55,36364.31,39154.41,47893.23,36913.8,37947.8,34393.95,33735.58,32905.88,35870.49,37373.33,36479.25,33677.18,37943.96,35229.12,34863.03,34813.12,34451.9,36514.43,33466.89,35132.7,34528.56,37827.69,33471.81,34137.41,36790.72,42508.02,35376.06,35523.17,35062.02,36451.71,39149.99,33930.8,34630.02,35555.5,39339.09,37449.94,39148.87,37495.2,36589.07,35105.96,34108.12,32655.07,32830.81,37397.63,35000.3,33954.55,34247.26,39354.84,36826.52,37656.58,46564.14,38489.63,38729.31,38266.47,47785.93,37371.22,40925.76,36582.36,33780.2,33613.91,40274.83,39305.13,36550.46,34953.85,38459.98,38934.77,38125.32,36586.52,37718.51,42060.21,37449.26,36350.03,36894.54,41897.55,35840.06,34536.29,38270.34,41566.55,41124.27,39019.74,37400.31,39758.77,44936.96,38073.91,38080.05,35197.59,41305.39,40343.83,38105.9,36674.67,37802.97,39549.27,35044.06,34507.34,34647.33,39311.93,35446.18,35549.19,36292.6,35406.17716,37505.74532,41396.09672,48342.93064,41274.76892,46781.76506,49842.33371,62275.01499,37662.51299,32931.32965,26745.63741,28030.37198,23208.48554
,1,5,15XXRP,32229.38,29620.81,26468.27,24101.89,23082.14,21498.92,22632.57,38971.89,29967.92,18516.45,11570.27,24763.98,22006.41,19260.44,16891.66,16157.17,15784.6,22932.26,21817.36,19778.44,19054.58,18887.71,20249.54,17918.22,17313.46,16472.48,16926.17,15544.62,15412.44,13570.32,15390.52,17776.56,15862.61,17039.38,23381.38,19853.57,20443.05,19525.85,16377.46,23903.81,23698.89,24716.49,70158.86,36472.02,49517.17,59589.48,85676.09,32280.82,22699.69,17445.37,18438.07,22118.7,31280.62,36667.65,31092.62,23870.31,28902.37,23704.37,22685.69,18719.22,23598.55,22393.09,22719.82,21786.16,17503.28,16195.54,15587.78,15575.25,16613.98,16848.76,18648.73,17861.56,21695.24,19239.86,17989.45,18444.8,19331.53,17406.68,21183.42,21320.93,18643.51,15478.26,20432.91,19075.78,19386.23,20562.37,16385.37,30352.06,22917.89,32700.34,26391.79,31956.07,31002.65,27339.37,79340.15,32572.27,41782.13,43479.7,61483.82,34981.76,23105.81,19281.61,19298.42,21376.42,28307.43,38096.04,46219.96,30797.88,30642.53,25492.21,29345.72,25442.13,22392.09,28386.81,18458.33,16645.01,17170.39,18953.07,17277.63,17955.73,18625.67,17233.25,24752.99,21376.63,24337.24,20233.9,19684.48,18089.61,17896.46,14105.4,17615.28,18232.46,15440.65,22446.23,18615.76,18236.15,19369.52,25798.78,22560.39,25508.81,20920.03,20413.83,25846.94,22488.96137,24652.70652,28831.55822,35053.53609,30607.98406,35889.81854,39526.03458,50706.86976,31203.97312,27759.23438,22729.13165,24650.80408,20746.17965
,1,6,16XXRP,5749.03,9135,6060.26,5244.56,4221.25,5619,4906.05,7468.33,4132.61,4428.8,5020.78,3945.19,4736.15,7477.7,6982.17,3395.75,6165.59,5484.9,4082.04,3902.26,4239.1,4541.91,4986.25,4772.7,5758.04,3932.95,4700.38,3885.01,4067.35,3389.29,3553.75,4432.69,4492.88,4601.39,2876.19,4168.36,5024.04,4291.27,5424.27,5036.99,4248.34,3507.65,20163.69,6356.96,6440.06,12078.11,28497.52,5878.25,1376.15,2355.86,2163.84,3200.68,3324.96,4542.8,4033.43,4203.87,3882.86,3928.8,2889.22,4508.3,3249.27,3340.31,3798.07,2995.07,4298.02,7213.53,4162.52,4640.76,5572.35,4021.54,3079.94,3004.81,3020.07,4047.92,3412.08,3154.33,3665.52,2839.92,2864.27,3124.83,3717.28,3296.22,3461.79,6147.43,3806.5,4718.28,3489.24,4733.74,4248.69,5111.85,6227.43,6223.03,3527.62,2640.98,18629.83,5240.63,6714.41,10022.4,18931.11,6629.6,3665.25,2460.92,2427.46,1649.4,3981.09,7338.85,4223.42,3784.06,6464.52,4183.3,3905.72,2856.83,4540.27,4764.43,4500.12,2988.96,3319.32,4658.18,3574.83,6030.81,5131.26,3249.75,4888.46,4087.58,4870.31,4774.5,2828.03,2776.97,3496.53,2545.65,3412.58,-139.65,2725.3,2626.5,2987.07,2576.64,3073.31,4159.51,3168.68,3843.29,3788.59,3496.69,4032.5,3201.917789,3517.32808,4193.045039,5319.182138,4639.266545,5459.582368,6166.555597,8086.285613,5150.339378,4349.926308,3608.316092,3855.880207,3258.192385
,1,7,17XXRP,21084.08,18310.31,19985.2,17224.22,19659.7,21529.14,22711.59,16254.21,22427.62,20516.64,19330.26,18534.4,22723.48,20457.62,18771.35,28726.86,36911.59,44563.68,26910.46,26984.25,28912.18,22589,22767.34,22666.55,20029.1,17709.46,21842.57,19178.36,17821.71,16309.44,18005.65,20824.49,17397.01,18227.39,16481.79,16350.96,16296.65,15395.27,17598.98,19136.58,21019.7,24313.72,72635.06,47406.83,63896.89,96198.12,166697.72,27433.06,17516.16,10774.06,12657.33,13957.4,17239.86,21169.06,24549.68,23811.23,19607.4,20304.74,22751.59,19958,20144.71,21617.85,19955.07,24606.39,22934.42,19394,21344.39,18787.41,26736.85,38450.3,38569.49,31439.02,23791.78,23747.1,20691.6,14805.42,16002.3,16061.11,17388.43,14088.28,13413.8,12116.03,14564.8,13370.82,14948.27,14836.91,13908.4,12758.28,13900.54,24664.06,26827.51,24182.96,25942.35,21953.16,71151.34,33118.33,47751.41,69511.06,119302.15,38216.01,12377.76,9194.61,10189.61,11228.15,16556.71,21619.05,16849.62,15956.87,16473.91,17500.24,20690.01,15628.59,18684,27171.41,21302.3,19056.92,18704.53,22956.83,23036.8,19180.11,28671.98,31568.92,30052.56,26249.22,24777.12,24077.39,27364.96,18427.17,16528.1,17171.35,16916.29,16552.49,16256.91,15159.94,15802.09,16941.42,15525.82,22542.44,22343.24,22071.39,20212.71,21937.45,21449.85,18464.43779,20231.18046,23270.34988,28298.46023,25380.99707,29696.01014,32405.26469,41991.19885,25828.85883,22900.96993,18885.49715,20009.43997,16650.3335
,1,8,18XXRP,40129.01,37334.83,38717.6,35318.2,38776.09,34342.64,34188.52,33581.72,38151.58,34145.96,32890.54,32946.13,34168.23,35393.78,33131.69,34442.73,35046.1,35181.47,34036.53,33387.48,33731.24,35580.01,34721.25,33171.72,34350.12,33568.19,34833.35,32326.19,32249.35,31272.68,35562.68,32737.89,33762.32,31381.97,34658.25,35966.67,33747.68,32659.74,34917.77,36182.58,35527.64,35759.26,34099.53,36222.74,35188.54,36961.11,41864,32751.73,36599.46,34228.3,34547.4,35110.75,39903.33,36011.09,35386.72,34195.37,36369.58,34415.39,33301.63,32558.92,35319.05,34442.29,32224.01,32832.06,32827.42,37360.03,34727.2,35631.59,35972.12,36767.22,36099.62,34338.33,34014.16,34063.23,35582.39,33336.29,34006.29,31981.72,35484.32,31061.21,32707.8,32668.5,34963.68,34246.67,35018.8,33157.11,34173.84,36759.96,34131.81,32631.25,34429.75,36959.48,34003.52,33169.55,33243.85,35886.92,38226.32,37149.3,41062.58,32419.78,36797,34033.89,35356.12,34644.25,40069.47,38317.89,37244.73,37204.72,40307.19,36553.82,36141.27,33758.45,37745.71,41917.56,37295.29,36930.94,38531.76,41589.1,37702.53,37817.25,39067,41039.74,40236.23,38163.76,37693.88,37647.44,41524.67,36130.01,37797.31,36981.9,40098.84,37269.92,36294.18,33855.28,37666.92,38666.21,37346.83,36404.63,37254.84,42663.75,37248.47,38668.75,39255.35,38248.37563,41022.29943,46069.34492,54429.04563,46719.30791,53470.33671,57763.31644,73776.9358,45195.86759,39791.19036,32603.95014,34333.83507,28671.95162
,1,9,19XXRP,16930.99,16562.49,15880.85,15175.52,24064.7,25605.58,33367.99,27897.97,25435.02,26113.67,28782.86,24664.06,24035.42,27588.34,25385.09,27798.19,29811.88,36317.39,26789.3,24934.43,24514.39,21032.55,27298.6,19092.63,19079.5,18959.82,19224.82,18684.26,21062.68,19860.51,39639.39,40143.87,28481.77,27585.27,44977.91,35836.59,32288.91,30302.47,31330.47,48794.36,37167.49,27561.57,44504.17,21979.41,26639.65,28716.62,47275.64,22884.84,16131.88,13215.27,11355.87,13213.73,18799.82,16065.13,21941.18,24517.18,27078.81,27860.95,33823.26,37050.06,28388.25,27560.77,28475.86,28657.31,23567.09,23957.45,23424.18,23918.77,26204.22,30796.28,27241.97,23176.62,24385.11,23809.04,24644.78,17344.99,16973.16,18244.55,21425.32,18708.23,18244.5,21140.44,38656.8,35450.71,27333.83,30988.32,44042.93,41729.36,32636.66,31062.86,34679.39,50675.72,37670.13,28932.57,42228.79,23042.52,27724.56,31948.63,45445.25,27192.39,20705.21,15416.12,13332.75,14728.57,19427.31,20985.41,23867.82,25957.89,30503.3,28291.68,37941.84,33541.36,50382.47,41235.34,33136.94,28111.87,30359.94,31552.3,28043.48,26160.37,29338.57,35001.66,30307.11,30249.01,28249.43,25081.23,32851.76,21464.73,22594.18,22921.21,23780.97,20400.88,23503.86,26262.95,41634.69,42920.95,31882.98,33889.72,40712.85,40439.53,37126.23,36690.81,41040.84,40391.35811,45072.96968,52574.51186,64076.20833,57099.49715,67083.59546,74014.05945,96446.61953,59607.79052,52613.71461,43285.89951,46071.11975,39608.6223
,1,10,110XXRP,30721.5,31494.77,29634.13,27921.96,33299.27,28208,33731.81,31406.96,31794.04,32486.28,32134.61,29091.15,30666.59,32902.69,26568.32,26197.6,30894.79,34227.73,28149.18,32177.66,31667.6,29779.96,33138.28,31341.38,30078.61,29613.51,35078.09,31271.9,34848.72,31692.56,33457.07,32256.12,29212.99,29097.1,29764.24,30734.05,30847.4,26805.78,25464.1,31543.83,26288.47,26066.48,31090.69,26558.42,28569.66,28609,31325.61,25764.32,24500.27,23058.41,23852.51,26223.02,33036.92,35673.56,34655.18,33148.39,36246.52,31563.06,33739.79,42875.11,30863.93,32563.54,32040.83,34446.35,28188.01,28902.6,28848.69,28586.42,30235.6,35960.03,31578.41,31612.86,29831.79,29583.91,31714.81,28299.95,29459.23,30521.96,32548.48,31383.62,28909.06,30630.65,30606.87,31416.52,32147.59,27300.29,31036.88,31083.31,30888.69,28827.99,28349.42,31588.66,32346.54,28013.63,30877.51,32006.18,31747.07,30816.81,30434.19,26147.46,29927.33,23995.69,25331.83,23650.22,33524.28,37764.38,40409.5,37507.44,39036.14,34858.03,33405.1,33327.09,43718.05,36666.29,29709.53,30838.26,29433.27,35800.66,32271.72,30339.17,34203.35,37294.14,36155.27,32578.62,32851.06,33135.34,39189.33,31430.55,29187.22,30594.53,32794.21,33834.22,29723.55,27884.19,28490.93,30851.75,31705.09,29203.63,27205.4,27822.4,27803.78,29442.38,26285.27,26879.08353,28209.25662,31040.37461,35975.11005,30802.69184,34736.59593,36466.33376,45518.99903,27284.84202,23843.02662,19174.51488,19800.96245,16099.78193
